"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"2554",10065374,"HY254252","05/10/2015 04:11:00 AM","007XX S CALIFORNIA AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","BARBERSHOP","false","false",1135,11,2,27,"04A",1157823,1896441,2015,"02/10/2018 03:50:01 PM",41.871587983,-87.696038825,"(41.871587983, -87.696038825)"
"2555",10065375,"HY254244","05/10/2015 04:24:00 AM","080XX S INGLESIDE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true",631,6,8,44,"08B",1183962,1851820,2015,"02/10/2018 03:50:01 PM",41.748571992,-87.601468444,"(41.748571992, -87.601468444)"
"2556",10065378,"HY254271","05/10/2015 05:00:00 AM","016XX N CLYBOURN AVE","0275","CRIM SEXUAL ASSAULT","ATTEMPT AGG: OTHER","CTA TRAIN","true","false",1813,18,32,7,"02",1170299,1910944,2015,"02/10/2018 03:50:01 PM",41.911121846,-87.649810542,"(41.911121846, -87.649810542)"
"2557",10065380,"HY253986","05/09/2015 09:30:00 PM","061XX N ARTESIAN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",2413,24,50,2,"08B",1158873,1940760,2015,"02/10/2018 03:50:01 PM",41.993180888,-87.690964746,"(41.993180888, -87.690964746)"
"2558",10065381,"HY254113","05/09/2015 11:30:00 PM","063XX N WESTERN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","SIDEWALK","false","true",2413,24,50,2,"08B",1159170,1941923,2015,"02/10/2018 03:50:01 PM",41.996366085,-87.68984012,"(41.996366085, -87.68984012)"
"2559",10065384,"HY254251","05/10/2015 04:15:00 AM","0000X N LONG AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1522,15,28,25,"04B",1140341,1899722,2015,"02/10/2018 03:50:01 PM",41.880929707,-87.760142409,"(41.880929707, -87.760142409)"
"2560",10065385,"HY254250","05/10/2015 04:27:00 AM","075XX S CALUMET AVE","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","false",623,6,6,69,"05",1179783,1855016,2015,"02/10/2018 03:50:01 PM",41.757438694,-87.616684097,"(41.757438694, -87.616684097)"
"2561",10065386,"HY254278","05/10/2015 05:30:00 AM","080XX S CARPENTER ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",612,6,21,71,"14",1170711,1851535,2015,"02/10/2018 03:50:01 PM",41.748088946,-87.650032926,"(41.748088946, -87.650032926)"
"2562",10065387,"HY254285","05/10/2015 06:10:00 AM","036XX N ASHLAND AVE","1570","SEX OFFENSE","PUBLIC INDECENCY","CTA BUS","true","false",1922,19,47,6,"17",1165009,1924140,2015,"02/10/2018 03:50:01 PM",41.947446464,-87.668868434,"(41.947446464, -87.668868434)"
"2563",10065389,"HY253395","05/09/2015 12:00:00 PM","076XX S COLES AVE","0497","BATTERY","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","APARTMENT","false","true",421,4,7,43,"04B",1196188,1855314,2015,"02/10/2018 03:50:01 PM",41.757865688,-87.556553285,"(41.757865688, -87.556553285)"
"2564",10065390,"HY254272","05/10/2015 05:17:00 AM","093XX S ESCANABA AVE","0554","ASSAULT","AGG PO HANDS NO/MIN INJURY","RESIDENCE","false","false",423,4,10,48,"08A",1197014,1843601,2015,"02/10/2018 03:50:01 PM",41.725703801,-87.553914954,"(41.725703801, -87.553914954)"
"2565",10065391,"HY250639","05/07/2015 12:25:00 PM","112XX S EDBROOKE AVE","0430","BATTERY","AGGRAVATED: OTHER DANG WEAPON","ALLEY","false","false",531,5,9,49,"04B",1179204,1830378,2015,"02/10/2018 03:50:01 PM",41.689842104,-87.619554714,"(41.689842104, -87.619554714)"
"2566",10065392,"HY254274","05/10/2015 05:50:00 AM","002XX W 117TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",522,5,34,53,"14",1176577,1827352,2015,"02/10/2018 03:50:01 PM",41.681597633,-87.629262697,"(41.681597633, -87.629262697)"
"2567",10065393,"HY254308","05/10/2015 06:45:00 AM","053XX W DEMING PL","0460","BATTERY","SIMPLE","RESIDENCE PORCH/HALLWAY","false","false",2515,25,31,19,"08B",1140418,1916450,2015,"02/10/2018 03:50:01 PM",41.926831878,-87.759448743,"(41.926831878, -87.759448743)"
"2568",10065394,"HY254316","05/10/2015 07:55:00 AM","052XX W MONROE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true",1522,15,29,25,"08B",1141478,1899160,2015,"02/10/2018 03:50:01 PM",41.879366594,-87.755981251,"(41.879366594, -87.755981251)"
"2569",10065396,"HY253310","05/09/2015 12:18:00 PM","088XX S DAUPHIN AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","true",632,6,8,44,"08A",1183891,1846349,2015,"02/10/2018 03:50:01 PM",41.733560632,-87.601899006,"(41.733560632, -87.601899006)"
"2570",10065397,"HY254315","05/10/2015 07:30:00 AM","054XX S LAFLIN ST","0460","BATTERY","SIMPLE","APARTMENT","true","true",934,9,16,61,"08B",1167268,1868375,2015,"02/10/2018 03:50:01 PM",41.794374423,-87.662167668,"(41.794374423, -87.662167668)"
"2571",10065398,"HY253969","05/09/2015 09:10:00 PM","082XX S ELLIS AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE","false","true",631,6,8,44,"04A",1184331,1850551,2015,"02/10/2018 03:50:01 PM",41.745081103,-87.600155935,"(41.745081103, -87.600155935)"
"2572",10065400,"HY252627","05/08/2015 07:54:00 PM","112XX S MICHIGAN AVE","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","OTHER","false","false",531,5,9,49,"11",1178807,1830295,2015,"02/10/2018 03:50:01 PM",41.689623358,-87.621010641,"(41.689623358, -87.621010641)"
"2573",10065401,"HY254311","05/10/2015 07:46:00 AM","006XX S CENTRAL AVE","0460","BATTERY","SIMPLE","PARK PROPERTY","true","false",1513,15,29,25,"08B",1139151,1896746,2015,"02/10/2018 03:50:01 PM",41.872784897,-87.764584482,"(41.872784897, -87.764584482)"
"2574",10065402,"HY254307","05/10/2015 07:30:00 AM","031XX N CLARK ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false",1934,19,44,6,"06",1170435,1920711,2015,"02/10/2018 03:50:01 PM",41.937919992,-87.649024588,"(41.937919992, -87.649024588)"
